ages,list_price,num_reviews,piece_count,play_star_rating,prod_id,review_difficulty,star_rating,theme_name,val_star_rating,country
6-12,29.99,2,277,4,75823,Average,4.5,Angry Birds™,4,US
6-12,19.99,2,168,4,75822,Easy,5,Angry Birds™,4,US
6-12,12.99,11,74,4.3,75821,Easy,4.3,Angry Birds™,4.1,US
12+,99.99,23,1032,3.6,21030,Average,4.6,Architecture,4.3,US
12+,79.99,14,744,3.2,21035,Challenging,4.6,Architecture,4.1,US
12+,59.99,7,597,3.7,21039,Average,4.9,Architecture,4.4,US
12+,59.99,37,598,3.7,21028,Average,4.2,Architecture,4.1,US
12+,49.99,24,780,4.4,21029,Average,4.7,Architecture,4.3,US
12+,39.99,23,468,3.6,21034,Average,4.7,Architecture,4.1,US
12+,39.99,11,444,3.6,21033,Average,4.8,Architecture,4.5,US
12+,39.99,14,386,4.1,21036,Average,4.4,Architecture,3.6,US
12+,34.99,53,321,3.2,21019,Average,4.6,Architecture,4.4,US
12+,29.99,7,361,4.2,21032,Easy,4.6,Architecture,4.2,US
7-12,159.99,63,847,3.8,17101,Average,3.4,BOOST,3.5,US
10+,29.99,13,708,4.7,41597,Average,4.8,BrickHeadz,4.8,US
10+,19.99,1,234,3,41614,Easy,5,BrickHeadz,5,US
10+,19.99,1,160,5,41613,Very Easy,5,BrickHeadz,5,US
10+,9.99,1,149,2,41609,Very Easy,3,BrickHeadz,4,US
10+,9.99,1,141,2,41608,Very Easy,4,BrickHeadz,4,US
10+,9.99,3,101,4,41604,Average,4.7,BrickHeadz,4.5,US
10+,9.99,2,105,3,41605,Easy,5,BrickHeadz,5,US
10+,9.99,1,113,5,41606,Easy,5,BrickHeadz,5,US
10+,9.99,1,136,,41607,,5,BrickHeadz,,US
10+,9.99,2,91,3,41485,Easy,4.5,BrickHeadz,4,US
10+,9.99,7,140,3.2,40270,Easy,4.9,BrickHeadz,4.7,US
10+,9.99,5,143,4.6,41599,Easy,5,BrickHeadz,5,US
10+,9.99,3,122,2.7,41598,Very Easy,4,BrickHeadz,3,US
10+,9.99,5,130,4.3,41603,Easy,5,BrickHeadz,4.8,US
10+,9.99,3,119,4.5,41602,Easy,5,BrickHeadz,4.5,US
10+,9.99,1,135,1,41600,Very Easy,4,BrickHeadz,3,US
10+,9.99,2,108,3.5,41601,Easy,5,BrickHeadz,4,US
10+,19.99,1,240,3,41611,Easy,5,BrickHeadz,5,US
10+,19.99,,209,,41610,,,BrickHeadz,,US
10+,9.99,4,126,2,40271,Easy,5,BrickHeadz,4.5,US
10+,9.99,7,102,4,41487,Easy,5,BrickHeadz,4.7,US
10+,9.99,5,89,3.2,41488,Very Easy,4.4,BrickHeadz,4,US
10+,9.99,6,118,3.3,41594,Very Easy,5,BrickHeadz,4.7,US
10+,9.99,3,127,3.5,41486,Very Easy,4.7,BrickHeadz,4.7,US
10+,9.99,11,91,3.8,41585,Very Easy,4.9,BrickHeadz,4.7,US
10+,9.99,8,96,4,41590,Easy,4.9,BrickHeadz,4.4,US
